data_name,itrial,B,bootstrap_type,block_length,model_type,method,alpha,width,coverage
"Gauss WN~(0,sigma^2)",0,30,random,6,LinearRegression,Ensemble,0.05,4.0196559999999995,0.945
"Gauss WN~(0,sigma^2)",0,30,random,6,LinearRegression,Ensemble,0.1,3.2925769999999996,0.875
"Gauss WN~(0,sigma^2)",0,30,random,6,LassoCV,Ensemble,0.05,3.9436459999999998,0.945
"Gauss WN~(0,sigma^2)",0,30,random,6,LassoCV,Ensemble,0.1,3.377647,0.9049999999999999
"Gauss WN~(0,sigma^2)",0,30,random,6,RidgeCV,Ensemble,0.05,4.017402,0.945
"Gauss WN~(0,sigma^2)",0,30,random,6,RidgeCV,Ensemble,0.1,3.2969969999999997,0.88
"Gauss WN~(0,sigma^2)",0,30,random,6,RandomForestRegressor,Ensemble,0.05,3.933929,0.95
"Gauss WN~(0,sigma^2)",0,30,random,6,RandomForestRegressor,Ensemble,0.1,3.396861,0.8999999999999999
"Gauss WN~(0,sigma^2)",0,30,random,12,LinearRegression,Ensemble,0.05,4.0196559999999995,0.945
"Gauss WN~(0,sigma^2)",0,30,random,12,LinearRegression,Ensemble,0.1,3.2925769999999996,0.875
"Gauss WN~(0,sigma^2)",0,30,random,12,LassoCV,Ensemble,0.05,3.9436459999999998,0.945
"Gauss WN~(0,sigma^2)",0,30,random,12,LassoCV,Ensemble,0.1,3.377647,0.9049999999999999
"Gauss WN~(0,sigma^2)",0,30,random,12,RidgeCV,Ensemble,0.05,4.017402,0.945
"Gauss WN~(0,sigma^2)",0,30,random,12,RidgeCV,Ensemble,0.1,3.2969969999999997,0.88
"Gauss WN~(0,sigma^2)",0,30,random,12,RandomForestRegressor,Ensemble,0.05,3.933929,0.95
"Gauss WN~(0,sigma^2)",0,30,random,12,RandomForestRegressor,Ensemble,0.1,3.396861,0.8999999999999999
"Gauss WN~(0,sigma^2)",0,30,random,24,LinearRegression,Ensemble,0.05,4.0196559999999995,0.945
"Gauss WN~(0,sigma^2)",0,30,random,24,LinearRegression,Ensemble,0.1,3.2925769999999996,0.875
"Gauss WN~(0,sigma^2)",0,30,random,24,LassoCV,Ensemble,0.05,3.9436459999999998,0.945
"Gauss WN~(0,sigma^2)",0,30,random,24,LassoCV,Ensemble,0.1,3.377647,0.9049999999999999
"Gauss WN~(0,sigma^2)",0,30,random,24,RidgeCV,Ensemble,0.05,4.017402,0.945
"Gauss WN~(0,sigma^2)",0,30,random,24,RidgeCV,Ensemble,0.1,3.2969969999999997,0.88
"Gauss WN~(0,sigma^2)",0,30,random,24,RandomForestRegressor,Ensemble,0.05,3.933929,0.95
"Gauss WN~(0,sigma^2)",0,30,random,24,RandomForestRegressor,Ensemble,0.1,3.396861,0.8999999999999999
"Gauss WN~(0,sigma^2)",0,30,moving,6,LinearRegression,Ensemble,0.05,3.983685,0.945
"Gauss WN~(0,sigma^2)",0,30,moving,6,LinearRegression,Ensemble,0.1,3.320735,0.9049999999999999
"Gauss WN~(0,sigma^2)",0,30,moving,6,LassoCV,Ensemble,0.05,3.945389,0.945
"Gauss WN~(0,sigma^2)",0,30,moving,6,LassoCV,Ensemble,0.1,3.311733,0.9049999999999999
"Gauss WN~(0,sigma^2)",0,30,moving,6,RidgeCV,Ensemble,0.05,3.982497,0.945
"Gauss WN~(0,sigma^2)",0,30,moving,6,RidgeCV,Ensemble,0.1,3.32224,0.9049999999999999
"Gauss WN~(0,sigma^2)",0,30,moving,6,RandomForestRegressor,Ensemble,0.05,3.903221,0.945
"Gauss WN~(0,sigma^2)",0,30,moving,6,RandomForestRegressor,Ensemble,0.1,3.403936,0.9049999999999999
"Gauss WN~(0,sigma^2)",0,30,moving,12,LinearRegression,Ensemble,0.05,4.002479,0.945
"Gauss WN~(0,sigma^2)",0,30,moving,12,LinearRegression,Ensemble,0.1,3.251401,0.88
"Gauss WN~(0,sigma^2)",0,30,moving,12,LassoCV,Ensemble,0.05,3.934424,0.945
"Gauss WN~(0,sigma^2)",0,30,moving,12,LassoCV,Ensemble,0.1,3.294688,0.8999999999999999
"Gauss WN~(0,sigma^2)",0,30,moving,12,RidgeCV,Ensemble,0.05,3.999586,0.945
"Gauss WN~(0,sigma^2)",0,30,moving,12,RidgeCV,Ensemble,0.1,3.2538039999999997,0.88
"Gauss WN~(0,sigma^2)",0,30,moving,12,RandomForestRegressor,Ensemble,0.05,3.8784609999999997,0.94
"Gauss WN~(0,sigma^2)",0,30,moving,12,RandomForestRegressor,Ensemble,0.1,3.4221399999999997,0.9149999999999999
"Gauss WN~(0,sigma^2)",0,30,moving,24,LinearRegression,Ensemble,0.05,4.029773,0.945
"Gauss WN~(0,sigma^2)",0,30,moving,24,LinearRegression,Ensemble,0.1,3.23725,0.87
"Gauss WN~(0,sigma^2)",0,30,moving,24,LassoCV,Ensemble,0.05,4.032,0.945
"Gauss WN~(0,sigma^2)",0,30,moving,24,LassoCV,Ensemble,0.1,3.234285,0.885
"Gauss WN~(0,sigma^2)",0,30,moving,24,RidgeCV,Ensemble,0.05,4.02943,0.945
"Gauss WN~(0,sigma^2)",0,30,moving,24,RidgeCV,Ensemble,0.1,3.236417,0.87
"Gauss WN~(0,sigma^2)",0,30,moving,24,RandomForestRegressor,Ensemble,0.05,3.9221299999999997,0.945
"Gauss WN~(0,sigma^2)",0,30,moving,24,RandomForestRegressor,Ensemble,0.1,3.4052659999999997,0.8999999999999999
"Gauss WN~(0,sigma^2)",0,30,circular,6,LinearRegression,Ensemble,0.05,4.000097,0.945
