data_name,itrial,B,bootstrap_type,block_length,model_type,method,alpha,width,coverage
"Gauss WN~(0,sigma^2)",0,30,random,6,LinearRegression,Ensemble,0.05,437.874552,0.945
"Gauss WN~(0,sigma^2)",0,30,random,6,LinearRegression,Ensemble,0.1,358.67144199999996,0.875
"Gauss WN~(0,sigma^2)",0,30,random,6,LassoCV,Ensemble,0.05,437.542652,0.945
"Gauss WN~(0,sigma^2)",0,30,random,6,LassoCV,Ensemble,0.1,359.356669,0.875
"Gauss WN~(0,sigma^2)",0,30,random,6,RidgeCV,Ensemble,0.05,437.87454099999997,0.945
"Gauss WN~(0,sigma^2)",0,30,random,6,RidgeCV,Ensemble,0.1,358.671469,0.875
"Gauss WN~(0,sigma^2)",0,30,random,6,RandomForestRegressor,Ensemble,0.05,428.536029,0.95
"Gauss WN~(0,sigma^2)",0,30,random,6,RandomForestRegressor,Ensemble,0.1,370.031484,0.8999999999999999
"Gauss WN~(0,sigma^2)",0,30,random,12,LinearRegression,Ensemble,0.05,437.874552,0.945
"Gauss WN~(0,sigma^2)",0,30,random,12,LinearRegression,Ensemble,0.1,358.67144199999996,0.875
"Gauss WN~(0,sigma^2)",0,30,random,12,LassoCV,Ensemble,0.05,437.542652,0.945
"Gauss WN~(0,sigma^2)",0,30,random,12,LassoCV,Ensemble,0.1,359.356669,0.875
"Gauss WN~(0,sigma^2)",0,30,random,12,RidgeCV,Ensemble,0.05,437.87454099999997,0.945
"Gauss WN~(0,sigma^2)",0,30,random,12,RidgeCV,Ensemble,0.1,358.671469,0.875
"Gauss WN~(0,sigma^2)",0,30,random,12,RandomForestRegressor,Ensemble,0.05,428.536029,0.95
"Gauss WN~(0,sigma^2)",0,30,random,12,RandomForestRegressor,Ensemble,0.1,370.031484,0.8999999999999999
"Gauss WN~(0,sigma^2)",0,30,random,24,LinearRegression,Ensemble,0.05,437.874552,0.945
"Gauss WN~(0,sigma^2)",0,30,random,24,LinearRegression,Ensemble,0.1,358.67144199999996,0.875
"Gauss WN~(0,sigma^2)",0,30,random,24,LassoCV,Ensemble,0.05,437.542652,0.945
"Gauss WN~(0,sigma^2)",0,30,random,24,LassoCV,Ensemble,0.1,359.356669,0.875
"Gauss WN~(0,sigma^2)",0,30,random,24,RidgeCV,Ensemble,0.05,437.87454099999997,0.945
"Gauss WN~(0,sigma^2)",0,30,random,24,RidgeCV,Ensemble,0.1,358.671469,0.875
"Gauss WN~(0,sigma^2)",0,30,random,24,RandomForestRegressor,Ensemble,0.05,428.536029,0.95
"Gauss WN~(0,sigma^2)",0,30,random,24,RandomForestRegressor,Ensemble,0.1,370.031484,0.8999999999999999
"Gauss WN~(0,sigma^2)",0,30,moving,6,LinearRegression,Ensemble,0.05,433.956174,0.945
"Gauss WN~(0,sigma^2)",0,30,moving,6,LinearRegression,Ensemble,0.1,361.738762,0.9049999999999999
"Gauss WN~(0,sigma^2)",0,30,moving,6,LassoCV,Ensemble,0.05,433.797596,0.945
"Gauss WN~(0,sigma^2)",0,30,moving,6,LassoCV,Ensemble,0.1,361.910312,0.9049999999999999
"Gauss WN~(0,sigma^2)",0,30,moving,6,RidgeCV,Ensemble,0.05,433.956163,0.945
"Gauss WN~(0,sigma^2)",0,30,moving,6,RidgeCV,Ensemble,0.1,361.73871499999996,0.9049999999999999
"Gauss WN~(0,sigma^2)",0,30,moving,6,RandomForestRegressor,Ensemble,0.05,425.19091299999997,0.945
"Gauss WN~(0,sigma^2)",0,30,moving,6,RandomForestRegressor,Ensemble,0.1,370.802142,0.9049999999999999
"Gauss WN~(0,sigma^2)",0,30,moving,12,LinearRegression,Ensemble,0.05,436.003382,0.945
"Gauss WN~(0,sigma^2)",0,30,moving,12,LinearRegression,Ensemble,0.1,354.18604,0.88
"Gauss WN~(0,sigma^2)",0,30,moving,12,LassoCV,Ensemble,0.05,435.840462,0.945
"Gauss WN~(0,sigma^2)",0,30,moving,12,LassoCV,Ensemble,0.1,354.334704,0.88
"Gauss WN~(0,sigma^2)",0,30,moving,12,RidgeCV,Ensemble,0.05,436.003355,0.945
"Gauss WN~(0,sigma^2)",0,30,moving,12,RidgeCV,Ensemble,0.1,354.186063,0.88
"Gauss WN~(0,sigma^2)",0,30,moving,12,RandomForestRegressor,Ensemble,0.05,422.493764,0.94
"Gauss WN~(0,sigma^2)",0,30,moving,12,RandomForestRegressor,Ensemble,0.1,372.785121,0.9149999999999999
"Gauss WN~(0,sigma^2)",0,30,moving,24,LinearRegression,Ensemble,0.05,438.97669099999996,0.945
"Gauss WN~(0,sigma^2)",0,30,moving,24,LinearRegression,Ensemble,0.1,352.64446,0.87
"Gauss WN~(0,sigma^2)",0,30,moving,24,LassoCV,Ensemble,0.05,438.96820199999996,0.945
"Gauss WN~(0,sigma^2)",0,30,moving,24,LassoCV,Ensemble,0.1,352.955677,0.87
"Gauss WN~(0,sigma^2)",0,30,moving,24,RidgeCV,Ensemble,0.05,438.976637,0.945
"Gauss WN~(0,sigma^2)",0,30,moving,24,RidgeCV,Ensemble,0.1,352.644452,0.87
"Gauss WN~(0,sigma^2)",0,30,moving,24,RandomForestRegressor,Ensemble,0.05,427.250741,0.945
"Gauss WN~(0,sigma^2)",0,30,moving,24,RandomForestRegressor,Ensemble,0.1,370.94703499999997,0.8999999999999999
"Gauss WN~(0,sigma^2)",0,30,circular,6,LinearRegression,Ensemble,0.05,435.743973,0.945
"Gauss WN~(0,sigma^2)",0,30,circular,6,LinearRegression,Ensemble,0.1,360.973408,0.89
"Gauss WN~(0,sigma^2)",0,30,circular,6,LassoCV,Ensemble,0.05,436.14910799999996,0.945
"Gauss WN~(0,sigma^2)",0,30,circular,6,LassoCV,Ensemble,0.1,360.387099,0.89
"Gauss WN~(0,sigma^2)",0,30,circular,6,RidgeCV,Ensemble,0.05,435.743974,0.945
"Gauss WN~(0,sigma^2)",0,30,circular,6,RidgeCV,Ensemble,0.1,360.973348,0.89
"Gauss WN~(0,sigma^2)",0,30,circular,6,RandomForestRegressor,Ensemble,0.05,429.85267699999997,0.945
"Gauss WN~(0,sigma^2)",0,30,circular,6,RandomForestRegressor,Ensemble,0.1,370.516507,0.9149999999999999
"Gauss WN~(0,sigma^2)",0,30,circular,12,LinearRegression,Ensemble,0.05,438.552328,0.945
"Gauss WN~(0,sigma^2)",0,30,circular,12,LinearRegression,Ensemble,0.1,356.683677,0.875
"Gauss WN~(0,sigma^2)",0,30,circular,12,LassoCV,Ensemble,0.05,437.504098,0.945
"Gauss WN~(0,sigma^2)",0,30,circular,12,LassoCV,Ensemble,0.1,356.20597899999996,0.875
