data_name,one_dim,itrial,train_fraction,B,bootstrap_type,block_length,model_type,method,alpha,width,coverage
Solar_Atl,False,0,0.7,30,random,6,LassoCV,Ensemble,0.05,425.37913199999997,0.995814
Solar_Atl,False,0,0.7,30,random,6,LassoCV,Ensemble,0.1,297.038506,0.936454
Solar_Atl,False,0,0.7,30,random,6,RidgeCV,Ensemble,0.05,425.14059399999996,0.995814
Solar_Atl,False,0,0.7,30,random,6,RidgeCV,Ensemble,0.1,297.251886,0.936454
Solar_Atl,False,0,0.7,30,random,6,RandomForestRegressor,Ensemble,0.05,421.683693,0.9961949999999999
Solar_Atl,False,0,0.7,30,random,6,RandomForestRegressor,Ensemble,0.1,332.651249,0.969559
Solar_Atl,False,0,0.7,30,random,12,LassoCV,Ensemble,0.05,425.37913199999997,0.995814
Solar_Atl,False,0,0.7,30,random,12,LassoCV,Ensemble,0.1,297.038506,0.936454
Solar_Atl,False,0,0.7,30,random,12,RidgeCV,Ensemble,0.05,425.14059399999996,0.995814
Solar_Atl,False,0,0.7,30,random,12,RidgeCV,Ensemble,0.1,297.251886,0.936454
Solar_Atl,False,0,0.7,30,random,12,RandomForestRegressor,Ensemble,0.05,421.683693,0.9961949999999999
Solar_Atl,False,0,0.7,30,random,12,RandomForestRegressor,Ensemble,0.1,332.651249,0.969559
Solar_Atl,False,0,0.7,30,random,24,LassoCV,Ensemble,0.05,425.37913199999997,0.995814
Solar_Atl,False,0,0.7,30,random,24,LassoCV,Ensemble,0.1,297.038506,0.936454
Solar_Atl,False,0,0.7,30,random,24,RidgeCV,Ensemble,0.05,425.14059399999996,0.995814
Solar_Atl,False,0,0.7,30,random,24,RidgeCV,Ensemble,0.1,297.251886,0.936454
Solar_Atl,False,0,0.7,30,random,24,RandomForestRegressor,Ensemble,0.05,421.683693,0.9961949999999999
Solar_Atl,False,0,0.7,30,random,24,RandomForestRegressor,Ensemble,0.1,332.651249,0.969559
Solar_Atl,False,0,0.7,30,moving,6,LassoCV,Ensemble,0.05,424.432701,0.995814
Solar_Atl,False,0,0.7,30,moving,6,LassoCV,Ensemble,0.1,299.14468999999997,0.9372149999999999
Solar_Atl,False,0,0.7,30,moving,6,RidgeCV,Ensemble,0.05,424.849656,0.995814
Solar_Atl,False,0,0.7,30,moving,6,RidgeCV,Ensemble,0.1,299.646264,0.937595
Solar_Atl,False,0,0.7,30,moving,6,RandomForestRegressor,Ensemble,0.05,423.057866,0.9961949999999999
Solar_Atl,False,0,0.7,30,moving,6,RandomForestRegressor,Ensemble,0.1,333.58029,0.969939
Solar_Atl,False,0,0.7,30,moving,12,LassoCV,Ensemble,0.05,426.25463199999996,0.9961949999999999
Solar_Atl,False,0,0.7,30,moving,12,LassoCV,Ensemble,0.1,298.968791,0.9372149999999999
Solar_Atl,False,0,0.7,30,moving,12,RidgeCV,Ensemble,0.05,427.084045,0.9954339999999999
Solar_Atl,False,0,0.7,30,moving,12,RidgeCV,Ensemble,0.1,299.463422,0.938356
Solar_Atl,False,0,0.7,30,moving,12,RandomForestRegressor,Ensemble,0.05,421.602584,0.995814
