data_name,one_dim,itrial,train_fraction,B,bootstrap_type,block_length,model_type,method,alpha,width,coverage
Solar_Atl,False,0,0.8001,30,random,6,LassoCV,Ensemble,0.05,432.11805899999996,0.995431
Solar_Atl,False,0,0.8001,30,random,6,LassoCV,Ensemble,0.1,293.483742,0.972016
Solar_Atl,False,0,0.8001,30,random,6,LassoCV,Ensemble,0.15,240.17187199999998,0.9486009999999999
Solar_Atl,False,0,0.8001,30,random,6,RidgeCV,Ensemble,0.05,431.95545699999997,0.995431
Solar_Atl,False,0,0.8001,30,random,6,RidgeCV,Ensemble,0.1,293.525239,0.972016
Solar_Atl,False,0,0.8001,30,random,6,RidgeCV,Ensemble,0.15,239.94449799999998,0.9480299999999999
Solar_Atl,False,0,0.8001,30,random,6,RandomForestRegressor,Ensemble,0.05,412.808737,0.9977159999999999
Solar_Atl,False,0,0.8001,30,random,6,RandomForestRegressor,Ensemble,0.1,322.70425,0.993147
Solar_Atl,False,0,0.8001,30,random,6,RandomForestRegressor,Ensemble,0.15,247.739305,0.959452
Solar_Atl,False,0,0.8001,30,random,12,LassoCV,Ensemble,0.05,432.11805899999996,0.995431
Solar_Atl,False,0,0.8001,30,random,12,LassoCV,Ensemble,0.1,293.483742,0.972016
Solar_Atl,False,0,0.8001,30,random,12,LassoCV,Ensemble,0.15,240.17187199999998,0.9486009999999999
Solar_Atl,False,0,0.8001,30,random,12,RidgeCV,Ensemble,0.05,431.95545699999997,0.995431
Solar_Atl,False,0,0.8001,30,random,12,RidgeCV,Ensemble,0.1,293.525239,0.972016
Solar_Atl,False,0,0.8001,30,random,12,RidgeCV,Ensemble,0.15,239.94449799999998,0.9480299999999999
Solar_Atl,False,0,0.8001,30,random,12,RandomForestRegressor,Ensemble,0.05,412.808737,0.9977159999999999
Solar_Atl,False,0,0.8001,30,random,12,RandomForestRegressor,Ensemble,0.1,322.70425,0.993147
Solar_Atl,False,0,0.8001,30,random,12,RandomForestRegressor,Ensemble,0.15,247.739305,0.959452
Solar_Atl,False,0,0.8001,30,random,24,LassoCV,Ensemble,0.05,432.11805899999996,0.995431
Solar_Atl,False,0,0.8001,30,random,24,LassoCV,Ensemble,0.1,293.483742,0.972016
Solar_Atl,False,0,0.8001,30,random,24,LassoCV,Ensemble,0.15,240.17187199999998,0.9486009999999999
Solar_Atl,False,0,0.8001,30,random,24,RidgeCV,Ensemble,0.05,431.95545699999997,0.995431
Solar_Atl,False,0,0.8001,30,random,24,RidgeCV,Ensemble,0.1,293.525239,0.972016
Solar_Atl,False,0,0.8001,30,random,24,RidgeCV,Ensemble,0.15,239.94449799999998,0.9480299999999999
Solar_Atl,False,0,0.8001,30,random,24,RandomForestRegressor,Ensemble,0.05,412.808737,0.9977159999999999
Solar_Atl,False,0,0.8001,30,random,24,RandomForestRegressor,Ensemble,0.1,322.70425,0.993147
Solar_Atl,False,0,0.8001,30,random,24,RandomForestRegressor,Ensemble,0.15,247.739305,0.959452
Solar_Atl,False,0,0.8001,30,moving,6,LassoCV,Ensemble,0.05,431.57935699999996,0.995431
Solar_Atl,False,0,0.8001,30,moving,6,LassoCV,Ensemble,0.1,294.693763,0.973158
Solar_Atl,False,0,0.8001,30,moving,6,LassoCV,Ensemble,0.15,241.245406,0.9486009999999999
Solar_Atl,False,0,0.8001,30,moving,6,RidgeCV,Ensemble,0.05,431.40349,0.995431
Solar_Atl,False,0,0.8001,30,moving,6,RidgeCV,Ensemble,0.1,294.816033,0.973158
Solar_Atl,False,0,0.8001,30,moving,6,RidgeCV,Ensemble,0.15,241.153877,0.9486009999999999
Solar_Atl,False,0,0.8001,30,moving,6,RandomForestRegressor,Ensemble,0.05,413.236064,0.9977159999999999
Solar_Atl,False,0,0.8001,30,moving,6,RandomForestRegressor,Ensemble,0.1,328.390082,0.9925759999999999
Solar_Atl,False,0,0.8001,30,moving,6,RandomForestRegressor,Ensemble,0.15,246.982934,0.960023
Solar_Atl,False,0,0.8001,30,moving,12,LassoCV,Ensemble,0.05,431.009409,0.9960019999999999
Solar_Atl,False,0,0.8001,30,moving,12,LassoCV,Ensemble,0.1,295.892924,0.973158
Solar_Atl,False,0,0.8001,30,moving,12,LassoCV,Ensemble,0.15,240.299671,0.9491719999999999
Solar_Atl,False,0,0.8001,30,moving,12,RidgeCV,Ensemble,0.05,430.846835,0.995431
Solar_Atl,False,0,0.8001,30,moving,12,RidgeCV,Ensemble,0.1,295.38219599999996,0.973158
